Products,Grocery Type,Ratio to 100 Gram,Unit
"Beef stewing cuts, per kilogram",Animal Product,0.1,No
"Beef striploin cuts, per kilogram",Animal Product,0.1,No
"Beef top sirloin cuts, per kilogram",Animal Product,0.1,No
"Beef rib cuts, per kilogram",Animal Product,0.1,No
"Ground beef, per kilogram",Animal Product,0.1,No
"Pork loin cuts, per kilogram",Animal Product,0.1,No
"Pork rib cuts, per kilogram",Animal Product,0.1,No
"Pork shoulder cuts, per kilogram",Animal Product,0.1,No
"Whole chicken, per kilogram",Animal Product,0.1,No
"Chicken breasts, per kilogram",Animal Product,0.1,No
"Chicken thigh, per kilogram",Animal Product,0.1,No
"Chicken drumsticks, per kilogram",Animal Product,0.1,No
"Bacon, 500 grams",Animal Product,0.2,No
"Wieners, 400 grams",Animal Product,0.25,No
"Salmon, per kilogram",Animal Product,0.1,No
"Shrimp, 300 grams",Animal Product,0.3333,No
"Canned salmon, 213 grams",Animal Product,0.4695,No
"Canned tuna, 170 grams",Animal Product,0.5882,No
"Meatless burgers, 226 grams",Animal Product,0.4425,No
"Milk, 1 litre",Dairy,0.1,No
"Milk, 2 litres",Dairy,0.05,No
"Milk, 4 litres",Dairy,0.025,No
"Soy milk, 1.89 litres",Dairy,0.0529,No
"Nut milk, 1.89 litres",Dairy,0.0529,No
"Cream, 1 litre",Dairy,0.1,No
"Butter, 454 grams",Dairy,0.2203,No
"Margarine, 907 grams",Dairy,0.1103,No
"Block cheese, 500 grams",Dairy,0.2,No
"Yogurt, 500 grams",Dairy,0.2,No
"Eggs, 1 dozen",Animal Product,0.1667,No
"Apples, per kilogram",Fruits,0.1,No
"Oranges, per kilogram",Fruits,0.1,No
"Oranges, 1.36 kilograms",Fruits,0.07352,No
"Bananas, per kilogram",Fruits,0.1,No
"Pears, per kilogram",Fruits,0.1,No
"Lemons, unit",Fruits,1.538,Yes
"Limes, unit",Fruits,1.4925,Yes
"Grapes, per kilogram",Fruits,0.1,No
"Cantaloupe, unit",Fruits,0.1229,Yes
"Strawberries, 454 grams",Fruits,0.2203,No
"Avocado, unit",Fruits,0.4651,Yes
"Potatoes, 4.54 kilograms",Vegetables,0.022,No
"Potatoes, per kilogram",Vegetables,0.1,No
"Sweet potatoes, per kilogram",Vegetables,0.1,No
"Tomatoes, per kilogram",Vegetables,0.1,No
"Cabbage, per kilogram",Vegetables,0.1,No
"Carrots, 1.36 kilograms",Vegetables,0.0735,No
"Onions, per kilogram",Vegetables,0.1,No
"Onions, 1.36 kilograms",Vegetables,0.0735,No
"Celery, unit",Vegetables,0.2,Yes
"Cucumber, unit",Vegetables,0.2,Yes
"Mushrooms, 227 grams",Vegetables,0.4405,No
"Iceberg lettuce, unit",Vegetables,0.1325,Yes
"Romaine lettuce, unit",Vegetables,0.1597,Yes
"Broccoli, unit",Vegetables,0.3333,Yes
"Peppers, per kilogram",Vegetables,0.1,No
"Squash, per kilogram",Vegetables,0.1,No
"Salad greens, 142 grams",Vegetables,0.7042,No
"Frozen french fried potatoes, 750 grams",Canned/Frozen Products,0.1333,No
"Frozen green beans, 750 grams",Canned/Frozen Products,0.1333,No
"Frozen broccoli, 500 grams",Canned/Frozen Products,0.2,No
"Frozen corn, 750 grams ",Canned/Frozen Products,0.1333,No
"Frozen mixed vegetables, 750 grams ",Canned/Frozen Products,0.1333,No
"Frozen peas, 750 grams",Canned/Frozen Products,0.1333,No
"Frozen pizza, 390 grams",Canned/Frozen Products,0.2564,No
"Frozen spinach, 300 grams",Canned/Frozen Products,0.3333,No
"Frozen strawberries, 600 grams",Canned/Frozen Products,0.1667,No
"White bread, 675 grams",Grains,0.1481,No
"Flatbread and pita, 500 grams ",Grains,0.2,No
"Crackers and crisp breads, 200 grams ",Grains,0.5,No
"Cookies and sweet biscuits, 300 grams ",Grains,0.3333,No
"Dry or fresh pasta, 500 grams",Grains,0.2,No
"Brown rice, 900 grams ",Grains,0.1111,No
"White rice, 2 kilograms",Grains,0.05,No
"Cereal, 400 grams",Grains,0.25,No
"Wheat flour, 2.5 kilograms",Grains,0.04,No
"White sugar, 2 kilograms",Grains,0.05,No
"Apple juice, 2 litres",Beverages,0.05,No
"Orange juice, 2 litres",Beverages,0.05,No
"Roasted or ground coffee, 340 grams",Beverages,0.2941,No
Tea (20 bags),Beverages,3.3333,No
"Ketchup, 1 litre",Condiments,0.1,No
"Vegetable oil, 3 litres",Condiments,0.03333,No
"Canola oil, 3 litres",Condiments,0.0333,No
"Olive oil, 1 litre",Condiments,0.1,No
"Baby food, 128 millilitres",Baby Food,0.7815,No
"Infant formula, 900 grams ",Baby Food,0.1111,No
"Peanut butter, 1 kilogram",Condiments,0.1,No
"Mayonnaise, 890 millilitres ",Condiments,0.1124,No
"Canned baked beans, 398 millilitres",Canned/Frozen Products,0.2513,No
"Canned tomatoes, 796 millilitres",Canned/Frozen Products,0.1256,No
"Canned soup, 284 millilitres",Canned/Frozen Products,0.3521,No
"Canned beans and lentils, 540 millilitres",Canned/Frozen Products,0.1852,No
"Canned corn, 341 millilitres",Canned/Frozen Products,0.2933,No
"Canned peach, 398 millilitres",Canned/Frozen Products,0.2513,No
"Canned pear, 398 millilitres",Canned/Frozen Products,0.2513,No
"Dried lentils, 900 grams",Vegetables,0.1111,No
"Dry beans and legumes, 900 grams ",Vegetables,0.1111,No
"Tofu, 350 grams ",Vegetables,0.2857,No
"Hummus, 227 grams",Vegetables,0.4405,No
"Salsa, 418 millilitres",Condiments,0.2392,No
"Pasta sauce, 650 millilitres",Condiments,0.1538,No
"Salad dressing, 475 millilitres",Condiments,0.2105,No
"Almonds, 200 grams",Fruits,0.5,No
"Peanuts, 450 grams",Fruits,0.2222,No
"Sunflower seeds, 400 grams ",Fruits,0.25,No
"Deodorant, 85 grams",Non-Food,1,No
"Toothpaste, 100 millilitres",Non-Food,1,No
"Shampoo, 400 millilitres",Non-Food,0.25,No
"Laundry detergent, 4.43 litres",Non-Food,0.0226,No
